title,author,num_ratings,num_reviews,avg_rating,num_pages,language,series,1_rating_count,2_rating_count,3_rating_count,4_rating_count,5_rating_count,publish_year,publish_month,publish_day,fiction,republish
The Book of Mormon: Another Testament of Jesus Christ,Anonymous,71355.0,5704.0,4.37,531.0,English,0,7520.0,2697.0,2521.0,1963.0,56654.0,2013.0,10.0,22.0,0,1
The Prince,Niccolò Machiavelli,229715.0,7261.0,3.81,140.0,English,0,5254.0,16827.0,61182.0,80221.0,66231.0,2003.0,6.0,1.0,0,1
The Foundation Trilogy,Isaac Asimov,83933.0,1331.0,4.4,679.0,English,1,477.0,1521.0,9016.0,25447.0,47472.0,1974.0,1.0,1.0,1,1
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,173617.0,6438.0,4.15,178.0,English,0,2742.0,6381.0,29358.0,58559.0,76577.0,2003.0,6.0,2.0,1,1
A Room of One's Own,Virginia Woolf,98164.0,5848.0,4.14,112.0,English,0,1357.0,3778.0,15993.0,35876.0,41160.0,2000.0,1.0,1.0,0,1
The Education of Little Tree,Forrest Carter,13659.0,1551.0,4.11,228.0,English,0,284.0,610.0,2292.0,4644.0,5829.0,2001.0,8.0,31.0,1,1
The Titan's Curse,Rick Riordan,605729.0,18408.0,4.35,320.0,English,1,2494.0,9751.0,78482.0,199954.0,315048.0,2007.0,5.0,5.0,1,0
Democracy in America,Alexis de Tocqueville,21036.0,731.0,4.02,992.0,English,0,285.0,1030.0,4398.0,7598.0,7725.0,2003.0,4.0,24.0,0,1
Some Are Sicker Than Others,Andrew Seaward,525.0,86.0,3.74,380.0,English,0,23.0,37.0,135.0,190.0,140.0,2012.0,5.0,1.0,1,1
Inferno,Dan Brown,428150.0,36106.0,3.84,463.0,English,1,8463.0,30070.0,106713.0,159472.0,123432.0,2013.0,5.0,14.0,1,0
The New York Trilogy,Paul Auster,54036.0,3000.0,3.89,308.0,English,1,1247.0,3596.0,11554.0,21215.0,16424.0,2006.0,3.0,28.0,1,1
The Mark of Athena,Rick Riordan,405550.0,15183.0,4.45,586.0,English,1,4513.0,6885.0,37288.0,107782.0,249082.0,2012.0,10.0,2.0,0,0
The Forty Rules of Love,Elif Shafak,106236.0,13460.0,4.16,354.0,English,0,3106.0,5315.0,14959.0,31311.0,51545.0,2010.0,2.0,18.0,1,1
An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,54273.0,3140.0,4.05,223.0,English,0,913.0,2365.0,10365.0,20004.0,20626.0,1996.0,10.0,22.0,0,1
Anansi Boys,Neil Gaiman,179360.0,9385.0,4.02,387.0,English,1,1450.0,6290.0,36204.0,78059.0,57357.0,2006.0,9.0,26.0,1,1
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,128290.0,4949.0,3.74,375.0,English,0,7508.0,8203.0,30779.0,45063.0,36737.0,2006.0,10.0,17.0,0,0
